Empresa;Fatur;Rent;Endiv;Empreg
CST;2172439;21.648;25.818;3960
ACESITA;1511887;39.716;58.692;3148
BELGO SIDERURGIA;1455592;65.193;71.656;2322
ALCOA;1091546;18.568;36.247;4343
CBA;1075495;21.494;28.473;6252
BELGO;905258;28.222;26.417;1936
unknown;870050;22.473;72.058;848
unknown;823731;51.598;74.163;3136
ALBRAS;822177;30;43.083;1349
BELGO BEKAERT;793063;30.923;22.528;1586
V & M DO BRASIL;705996;41.72;59.638;4409
RDM;497099;33.724;53.011;1229
CNT;437840;51.984;28.339;1175
BHPBILLITON;412444;27.254;25.585;893
SBM;385433;31.753;21.473;1348
INAL;371887;27.813;27.603;592
TENARIS CONFAB;361364;3.911;61.714;1894
VILLARES METALS;357284;39.426;30.92;1518
unknown;342867;17.059;18.909;2089
CMM;321127;41.377;35.966;1749
ZAMPROGNA;306543;25.596;27.657;1064
AMSTED MAXION;302099;47.596;88.341;3645
MANGELS;249048;12.609;58.956;1769
VALESUL;236699;22.16;36.444;634
ELUMA;228910;19.466;55.441;1395
